Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
King of Tokyo: Dark Edition,2020,2,6,30,8,3,4932,7.69832,7.00881,1.19771,82.49,3,Quick,Young,Large
Biblios,2007,2,4,30,10,0,17347,7.19784,7.00838,1.18658,48.19,16,Quick,PreTeen,Small
ISS Vanguard,2022,1,4,120,13,6,2468,8.7073,7.0082,1.55072,184.1875,1,Long,Teen,Small
Fresco,2010,2,4,60,10,1,12968,7.25601,7.00805,1.15008,27.766153846153845,13,Short,PreTeen,Small
Mythic Battles: Pantheon,2017,2,4,90,14,4,3081,8.34067,7.00733,1.55154,427.6735,6,Moderate,Teen,Small
Claustrophobia,2009,2,2,45,14,0,7007,7.47501,7.00621,1.38112,80.10473684210527,14,Short,Teen,Small
Dune,1979,2,6,180,12,0,5831,7.59278,7.006,1.69171,158.47782608695653,44,Long,PreTeen,Large
Advanced Squad Leader,1985,2,2,480,14,4,3801,8.00501,7.00556,2.06568,179.34,38,Marathon,Teen,Small
Chess,1475,2,2,0,6,1,35234,7.19472,7.00403,1.84588,85.7490625,548,,Young,Small
Thunderstone Quest,2018,2,4,90,14,3,4260,7.78362,7.00372,1.41334,154.9365625,5,Moderate,Teen,Small
Wavelength,2019,2,12,45,14,0,11726,7.29432,7.00265,1.29213,29.999166666666667,4,Short,Teen,Massive
Mice and Mystics,2012,1,4,90,7,10,19168,7.24067,7.00232,1.42474,56.27871794871795,11,Moderate,Young,Small
The Manhattan Project,2012,2,5,120,13,1,9815,7.33073,7.00164,1.26112,51.74875,11,Long,Teen,Large
Flash Point: Fire Rescue,2011,2,6,45,10,9,23780,7.16382,6.99981,1.25425,24.518490566037737,12,Short,PreTeen,Large
Mindbug: First Contact,2022,2,2,25,8,1,4582,7.77139,6.99942,1.3499,61.663333333333334,1,Quick,Young,Small
Marvel United: X-Men,2021,1,5,40,14,5,2947,8.11757,6.99919,1.25779,151.96533333333335,2,Short,Teen,Large
Kingsburg,2007,2,5,90,13,2,19516,7.17573,6.99492,1.23134,53.60260869565218,16,Moderate,Teen,Large
Millennium Blades,2016,2,5,120,12,3,4886,7.67006,6.99377,1.58119,94.599,7,Long,PreTeen,Large
Imperial Settlers: Empires of the North,2019,1,4,90,10,3,6979,7.45521,6.99056,1.33612,48.06125,4,Moderate,PreTeen,Small
Boonlake,2021,1,4,160,14,5,4406,7.6879,6.99032,1.24518,37.63545454545454,2,Long,Teen,Small
John Company: Second Edition,2022,1,6,240,13,1,2350,8.33361,6.9879,1.66602,105.77227272727272,1,Very Long,Teen,Large
Glen More,2010,2,5,70,10,1,9209,7.30376,6.9858,1.15525,60.99888888888889,13,Moderate,PreTeen,Large
Pipeline,2019,2,4,120,12,2,4801,7.62573,6.98554,1.43157,64.54454545454546,4,Long,PreTeen,Small
Lancaster,2011,2,5,60,10,0,7372,7.39635,6.9843,1.19081,38.41,12,Short,PreTeen,Large
Lord of the Rings: The Confrontation,2005,2,2,30,14,0,6280,7.48303,6.98416,1.34394,100.33,18,Quick,Teen,Small
Pandemic: Reign of Cthulhu,2016,2,4,40,14,1,10010,7.36863,6.98398,1.24814,27.220555555555556,7,Short,Teen,Small
Heroscape Master Set: Rise of the Valkyrie,2004,2,4,90,8,0,8202,7.44439,6.98375,1.56228,131.33266666666665,19,Moderate,Young,Small
Black Orchestra,2016,1,5,90,14,0,6186,7.51124,6.98227,1.28399,51.35176470588235,7,Moderate,Teen,Large
A Few Acres of Snow,2011,2,2,90,14,1,7898,7.37435,6.98108,1.49396,91.58333333333333,12,Moderate,Teen,Small
Mandala,2019,2,2,20,10,0,5376,7.54352,6.98097,1.1347,25.141428571428573,4,Quick,PreTeen,Small
Honey Buzz,2020,1,4,90,10,5,5053,7.6195,6.97935,1.19771,59.5,3,Moderate,PreTeen,Small
PitchCar,1995,2,8,30,6,1,10787,7.26141,6.97839,1.34885,118.33333333333333,28,Quick,Young,Large
Quadropolis,2016,2,4,60,8,13,12788,7.23459,6.97717,1.09883,25.054857142857145,7,Short,Young,Small
Point Salad,2019,2,6,30,14,0,17906,7.16959,6.97565,1.12402,14.199000000000002,4,Quick,Teen,Large
Wayfarers of the South Tigris,2022,1,4,90,12,1,3454,7.86181,6.97443,1.27856,52.888888888888886,1,Moderate,PreTeen,Small
Mystic Vale,2016,2,4,45,14,4,11522,7.26224,6.96925,1.31731,36.81818181818182,7,Short,Teen,Small
Middara: Unintentional Malum – Act 1,2019,1,4,60,15,22,2341,8.62798,6.96859,1.69076,232.8125,4,Short,Teen,Small
IKI,2015,2,4,90,14,2,4356,7.67811,6.96775,1.1913,79.75,8,Moderate,Teen,Small
Commands & Colors: Napoleonics,2010,2,2,90,14,1,3080,8.02383,6.96715,1.40836,75.66333333333334,13,Moderate,Teen,Small
Amerigo,2013,2,4,90,10,0,6111,7.44512,6.96382,1.23167,76.0,10,Moderate,PreTeen,Small
Cartographers Heroes,2021,1,100,45,10,2,3688,7.80081,6.96374,1.10436,38.875,2,Short,PreTeen,Massive
Stuffed Fables,2018,2,4,90,7,3,6953,7.46854,6.96185,1.34165,60.665,5,Moderate,Young,Small
Hadara,2019,2,5,60,10,0,6703,7.41781,6.95973,1.13949,43.998000000000005,4,Short,PreTeen,Large
Pan Am,2020,2,4,60,12,0,5389,7.55457,6.9588,1.09085,19.615454545454547,3,Short,PreTeen,Small
Descent: Legends of the Dark,2021,1,4,180,14,6,4127,7.95199,6.95853,2.03343,96.30875,2,Long,Teen,Small
Amun-Re,2003,3,5,90,12,1,9158,7.29505,6.95823,1.22044,56.38565217391305,20,Moderate,PreTeen,Large
Colt Express,2014,2,6,40,10,13,31139,7.09324,6.95801,1.24826,25.65685714285714,9,Short,PreTeen,Large
BattleLore,2006,2,2,60,10,1,9330,7.34926,6.95759,1.42516,86.71925925925925,17,Short,PreTeen,Small
Fire in the Lake,2014,1,4,180,0,1,2831,8.05252,6.95728,1.4624,58.30571428571428,9,Long,,Small
Pandemic: The Cure,2014,2,5,30,8,1,10515,7.25163,6.95682,1.23116,27.997241379310346,9,Quick,Young,Large
Dead Reckoning,2022,1,4,150,14,6,2490,8.2269,6.95573,1.33488,266.6,1,Long,Teen,Small
Dawn of the Zeds (Third Edition),2016,1,5,120,14,2,2602,8.16947,6.95427,1.30074,83.2475,7,Long,Teen,Large
Citadels,2016,2,8,60,10,0,12943,7.25903,6.95407,1.25922,22.159333333333333,7,Short,PreTeen,Large
Charterstone,2017,1,6,75,14,4,14410,7.22907,6.95328,1.67196,35.99947368421053,6,Moderate,Teen,Large
Risk Legacy,2011,3,5,60,13,0,8369,7.37056,6.9518,1.64743,31.0,12,Short,Teen,Large
No Thanks!,2004,3,7,20,8,0,25984,7.07452,6.95159,1.20238,11.373333333333335,19,Quick,Young,Large
"Air, Land, & Sea",2019,2,2,30,14,1,5922,7.4637,6.95152,1.14512,9.782857142857143,4,Quick,Teen,Small
Exit: The Game – Dead Man on the Orient Express,2017,1,4,120,12,1,4756,7.57422,6.95122,1.38958,10.214444444444446,6,Long,PreTeen,Small
Citadels,2000,2,8,60,10,0,53673,7.06521,6.95058,1.26407,14.339230769230772,23,Short,PreTeen,Large
Sheriff of Nottingham,2014,3,5,60,14,6,34922,7.07686,6.94857,1.31111,47.88235294117647,9,Short,Teen,Large
Deus,2014,2,4,90,14,2,8842,7.28416,6.94842,1.2139,35.22615384615385,9,Moderate,Teen,Small
Zombie Kidz Evolution,2018,2,4,15,7,0,4628,7.65249,6.94792,1.27435,18.494999999999997,5,Quick,Young,Small
Lords of Vegas,2010,2,4,90,12,6,7457,7.3486,6.94737,1.41237,133.57142857142858,13,Moderate,PreTeen,Small
Foundations of Rome,2022,2,4,90,13,2,2884,8.03003,6.94733,1.33093,300.0,1,Moderate,Teen,Small
Forbidden Desert,2013,2,5,45,10,1,30256,7.08512,6.94711,1.18314,14.028235294117648,10,Short,PreTeen,Large
Fantastic Factories,2019,1,5,60,14,5,6019,7.45964,6.94619,1.16078,48.86454545454546,4,Short,Teen,Large
Blood Bowl (Third Edition),1994,2,2,180,12,0,5575,7.55127,6.94565,1.59515,39.995,29,Long,PreTeen,Small
Shadows over Camelot,2005,3,7,90,10,2,27340,7.10278,6.94555,1.39676,159.218125,18,Moderate,PreTeen,Large
Descent: Journeys in the Dark,2005,2,5,240,13,3,11722,7.28052,6.94522,1.52207,285.4317391304348,18,Very Long,Teen,Large
Oceans,2020,2,4,90,12,2,6163,7.4765,6.94521,1.33752,55.13689655172414,3,Moderate,PreTeen,Small
Mansions of Madness,2011,2,5,180,13,0,13569,7.26445,6.94517,1.56326,261.5,12,Long,Teen,Large
Shadows of Brimstone: City of the Ancients,2014,1,4,120,12,36,3851,7.96764,6.94503,1.64649,422.0,9,Long,PreTeen,Small
Blood Bowl: Living Rulebook,2004,2,2,120,12,0,3435,7.8428,6.944,1.72703,,19,Long,PreTeen,Small
Hanabi,2010,2,5,25,8,2,46941,7.04606,6.94395,1.41162,12.53037037037037,13,Quick,Young,Large
Junk Art,2016,2,6,30,8,0,7256,7.37288,6.94319,1.24227,56.495000000000005,7,Quick,Young,Large
Black Rose Wars,2019,2,4,90,14,10,3474,7.98199,6.94255,1.54184,278.43625,4,Moderate,Teen,Small
Canvas,2021,1,5,30,14,2,10551,7.27835,6.94121,1.23658,58.278571428571425,2,Quick,Teen,Large
Friday,2011,1,1,25,13,1,20695,7.11508,6.93974,1.23484,13.845,12,Quick,Teen,Individual
The Great Wall,2021,1,4,180,13,7,3604,7.89207,6.93891,1.50047,255.10344827586206,2,Long,Teen,Small
1775: Rebellion,2013,2,4,120,10,2,4208,7.6441,6.93814,1.22954,70.34555555555556,10,Long,PreTeen,Small
Betrayal Legacy,2018,3,5,90,12,0,4667,7.68696,6.93784,1.77368,197.0,5,Moderate,PreTeen,Large
"Labyrinth: The War on Terror, 2001 – ?",2010,1,2,180,12,0,4894,7.58402,6.93769,1.5309,50.98457142857143,13,Long,PreTeen,Small
The Witcher: Old World,2023,1,5,150,14,4,3838,8.1176,6.93724,1.73216,228.6563636363636,0,Long,Teen,Large
Imperial Struggle,2020,2,2,240,14,1,2435,8.26561,6.93645,1.42663,38.82478260869566,3,Very Long,Teen,Small
Bohnanza,1997,2,7,45,12,5,44898,7.04951,6.93639,1.301,18.57,26,Short,PreTeen,Large
Potion Explosion,2015,2,4,45,8,2,18686,7.12899,6.93513,1.19439,40.0,8,Short,Young,Small
Raptor,2015,2,2,30,9,0,9932,7.24767,6.93387,1.20501,25.749000000000002,8,Quick,PreTeen,Small
The Guild of Merchant Explorers,2022,1,4,45,14,0,3596,7.74786,6.93373,1.0579,33.496,1,Short,Teen,Small
Imhotep,2016,2,4,40,10,3,15273,7.14765,6.93153,1.14142,25.725454545454546,7,Short,PreTeen,Small
1846: The Race for the Midwest,2005,3,5,240,14,1,2837,7.93578,6.93103,1.37531,44.532666666666664,18,Very Long,Teen,Large
Argent: The Consortium,2015,2,5,150,10,1,4160,7.6399,6.92898,1.50128,49.285714285714285,8,Long,PreTeen,Large
CATAN,1995,3,4,120,10,40,122769,7.10199,6.92829,1.49109,43.236615384615384,28,Long,PreTeen,Small
Blackout: Hong Kong,2018,1,4,150,14,0,5717,7.44452,6.92819,1.24882,26.2475,5,Long,Teen,Small
Railroad Ink: Deep Blue Edition,2018,1,6,30,8,2,12356,7.19121,6.92815,1.19236,14.5,5,Quick,Young,Large
Freedom: The Underground Railroad,2013,1,4,120,13,3,4400,7.58353,6.92812,1.22921,58.725,10,Long,Teen,Small
Undaunted: North Africa,2020,2,2,60,14,1,3389,7.84689,6.92732,1.25373,59.375,3,Short,Teen,Small
Thurn and Taxis,2006,2,4,60,10,1,19769,7.09093,6.92358,1.17797,60.49166666666667,17,Short,PreTeen,Small
Distilled,2023,1,5,150,14,4,3097,7.9556,6.92048,1.32616,101.5,0,Long,Teen,Large
Port Royal,2014,2,5,50,8,0,16985,7.12473,6.92011,1.18769,21.285714285714285,9,Short,Young,Large
Small World Underground,2011,2,5,90,8,1,10862,7.23914,6.91937,1.27465,35.54363636363637,12,Moderate,Young,Large
Akropolis,2022,1,4,30,8,0,5136,7.52044,6.9175,1.1142,22.5,1,Quick,Young,Small
Star Wars: X-Wing (Second Edition),2018,2,2,45,14,13,2884,8.06995,6.91664,1.55625,133.8557142857143,5,Short,Teen,Small
High Society,1995,3,5,30,10,0,12798,7.14945,6.9151,1.23665,16.335,28,Quick,PreTeen,Large
Escape Plan,2019,1,5,120,12,0,5030,7.52225,6.91458,1.38035,82.34652173913044,4,Long,PreTeen,Large
Ingenious,2004,1,4,45,8,1,16961,7.10405,6.91399,1.19438,22.49857142857143,19,Short,Young,Small
Woodcraft,2022,1,4,120,12,3,3706,7.71809,6.91396,1.28397,41.11,1,Long,PreTeen,Small
First Class: All Aboard the Orient Express!,2016,2,4,80,14,0,5638,7.42215,6.9128,1.13616,58.9975,7,Moderate,Teen,Small
Alhambra,2003,2,6,60,8,3,32923,7.03173,6.91144,1.18328,30.814000000000004,20,Short,Young,Large
MicroMacro: Crime City – Full House,2021,1,4,45,10,0,3537,7.71595,6.91048,1.1567,27.712857142857143,2,Short,PreTeen,Small
The Grizzled,2015,2,5,30,14,6,14370,7.14233,6.9102,1.2875,16.565217391304348,8,Quick,Teen,Large
Archipelago,2012,2,5,240,14,1,8133,7.29726,6.91019,1.55884,69.70708333333333,11,Very Long,Teen,Large
TZAAR,2007,2,2,60,13,0,3749,7.66471,6.90976,1.31742,55.0,16,Short,Teen,Small
Caper: Europe,2022,2,2,35,10,2,3422,7.76466,6.9095,1.14179,36.22545454545455,1,Short,PreTeen,Small
London,2010,2,4,90,13,0,6543,7.33152,6.90939,1.26403,39.85190476190477,13,Moderate,Teen,Small
Fleet: The Dice Game,2018,1,4,45,8,4,3758,7.66915,6.90779,1.14709,22.5,5,Short,Young,Small
Frostpunk: The Board Game,2022,1,4,150,16,9,2429,8.31984,6.90627,1.56576,241.69111111111113,1,Long,Teen,Small
The Fox in the Forest,2017,2,2,30,10,1,14676,7.11989,6.9061,1.22365,10.425714285714287,6,Quick,PreTeen,Small
Time's Up! Title Recall!,2008,4,18,60,12,0,3543,7.69242,6.90564,1.51507,10.0,15,Short,PreTeen,Massive
Madeira,2013,2,4,150,12,0,4397,7.55366,6.90488,1.52045,93.7475,10,Long,PreTeen,Small
Libertalia,2012,2,6,60,14,1,14038,7.12258,6.90468,1.27973,44.83222222222222,11,Short,Teen,Large
Legends of Andor,2012,2,4,90,10,6,18657,7.12464,6.90391,1.46926,46.62108108108108,11,Moderate,PreTeen,Small
Imperium: Legends,2021,1,4,120,14,5,3199,7.85906,6.9036,1.39846,34.46666666666667,2,Long,Teen,Small
Love Letter: Premium Edition,2016,2,8,30,8,0,5707,7.44441,6.90353,1.37417,138.33166666666668,7,Quick,Young,Large
Airlines Europe,2011,2,5,75,10,0,7341,7.29821,6.90274,1.17862,98.798,12,Moderate,PreTeen,Large
Sushi Go!,2013,2,5,15,8,1,44892,7.01025,6.90175,1.1483,11.898800000000001,10,Quick,Young,Large
Wabash Cannonball,2007,2,6,60,12,2,8196,7.24839,6.90115,1.34224,52.33166666666667,16,Short,PreTeen,Large
Euphoria: Build a Better Dystopia,2013,2,6,60,13,3,10689,7.19369,6.90113,1.4016,54.05433333333334,10,Short,Teen,Large
RoboRally,1994,2,8,120,12,0,23730,7.06114,6.90076,1.54375,105.89633333333332,29,Long,PreTeen,Large
Elysium,2015,2,4,60,14,3,9635,7.20029,6.89979,1.21575,23.936875,8,Short,Teen,Small
Discworld: Ankh-Morpork,2011,2,4,60,11,0,10299,7.24749,6.89952,1.37654,323.8453846153846,12,Short,PreTeen,Small
Camel Up,2014,2,8,30,8,2,26520,7.04119,6.89718,1.23651,43.8,9,Quick,Young,Large
Vikings,2007,2,4,60,10,1,8416,7.24597,6.89617,1.20031,85.98833333333333,16,Short,PreTeen,Small
Libertalia: Winds of Galecrest,2022,1,6,60,14,1,5006,7.49639,6.89565,1.28656,38.5,1,Short,Teen,Large
One Night Ultimate Werewolf,2014,3,10,10,8,4,26875,7.06821,6.89558,1.61477,14.037692307692309,9,Quick,Young,Massive
Nova Luna,2019,1,4,60,8,1,7695,7.29916,6.89442,1.16173,30.650000000000002,4,Short,Young,Small
Runebound (Third Edition),2015,2,4,180,14,2,6022,7.46603,6.89426,1.40653,86.4,8,Long,Teen,Small
Valeria: Card Kingdoms,2016,1,5,45,13,11,5577,7.45267,6.89413,1.26141,84.45363636363636,7,Short,Teen,Large
Last Will,2011,2,5,75,14,0,10235,7.17231,6.89357,1.17116,35.98206896551724,12,Moderate,Teen,Large
Sentinels of the Multiverse,2011,2,5,60,8,5,15903,7.15323,6.89288,1.68757,50.82645161290322,12,Short,Young,Large
The LOOP,2020,1,4,60,12,4,3567,7.76278,6.89087,1.22082,34.55444444444444,3,Short,PreTeen,Small
Roads & Boats,1999,1,4,240,14,0,3360,7.71418,6.89081,1.64389,180.24875,24,Very Long,Teen,Small
BattleCON: Devastation of Indines,2013,1,5,45,10,4,3251,7.8383,6.88954,1.64534,93.0,10,Short,PreTeen,Large
Voidfall,2023,1,4,240,15,3,1781,8.68184,6.88856,1.41192,266.874375,0,Very Long,Teen,Small
Karuba,2015,2,4,40,8,1,10727,7.1744,6.88849,1.09779,27.894,8,Short,Young,Small
Aquatica,2019,1,4,60,12,2,5791,7.38127,6.88807,1.18685,32.99916666666667,4,Short,PreTeen,Small
Las Vegas,2012,2,5,30,8,0,11061,7.15957,6.88806,1.22418,63.495000000000005,11,Quick,Young,Large
Space Empires 4X,2011,1,4,240,14,1,3792,7.68898,6.8872,1.52222,78.84461538461538,12,Very Long,Teen,Small
Jamaica,2007,2,6,60,8,2,19674,7.0635,6.88703,1.24607,37.23761904761905,16,Short,Young,Large
In the Hall of the Mountain King,2019,2,5,90,12,2,4174,7.62593,6.887,1.18576,64.77875,4,Moderate,PreTeen,Large
Tales of the Arabian Nights,2009,1,6,120,12,0,12593,7.16824,6.88672,1.63912,130.8181818181818,14,Long,PreTeen,Large
Egizia,2009,2,4,90,12,0,5424,7.39487,6.88591,1.1936,48.07,14,Moderate,PreTeen,Small
StarCraft: The Board Game,2007,2,6,240,12,1,7489,7.35125,6.88583,1.58532,333.2,16,Very Long,PreTeen,Large
Taj Mahal,2000,2,5,90,12,1,7718,7.26718,6.88541,1.31727,32.74857142857143,23,Moderate,PreTeen,Large
Queendomino,2017,2,4,25,8,13,10570,7.17638,6.88488,1.15248,17.816399999999998,6,Quick,Young,Small
Vinhos,2010,2,4,135,12,0,4833,7.47187,6.8837,1.47834,49.31875,13,Long,PreTeen,Small
Zombicide: 2nd Edition,2021,1,6,60,14,8,3117,8.01519,6.88293,1.36806,1245.0,2,Short,Teen,Large
Etherfields,2020,1,4,180,12,18,3563,7.98017,6.88282,1.89676,222.98125,3,Long,PreTeen,Small
Atlantis Rising (Second Edition),2019,1,7,120,10,4,4147,7.57692,6.88159,1.28208,62.807307692307695,4,Long,PreTeen,Large
Baseball Highlights: 2045,2015,1,4,45,9,4,4468,7.51904,6.88089,1.37333,52.0,8,Short,PreTeen,Small
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,2013,1,4,90,13,4,12669,7.17528,6.88079,1.59,94.5252380952381,10,Moderate,Teen,Small
Colosseum,2007,3,5,90,10,0,8912,7.21064,6.87964,1.25399,80.66619047619048,16,Moderate,PreTeen,Large
Through the Desert,1998,2,5,45,10,1,13768,7.09216,6.87944,1.22517,59.08636363636364,25,Short,PreTeen,Large
QE,2019,3,5,45,8,1,5272,7.39702,6.87862,1.23275,29.995,4,Short,Young,Large
Pax Porfiriana,2012,1,6,120,12,2,3617,7.65697,6.87658,1.59635,69.8,11,Long,PreTeen,Large
DVONN,2001,2,2,30,9,0,5032,7.45382,6.876,1.33749,32.163333333333334,22,Quick,PreTeen,Small
Nexus Ops,2005,2,4,90,12,0,8825,7.20804,6.873,1.25796,71.82551724137932,18,Moderate,PreTeen,Small
Broom Service,2015,2,5,75,10,0,10102,7.16785,6.86899,1.25926,50.0,8,Moderate,PreTeen,Large
Carcassonne: Hunters and Gatherers,2002,2,5,35,8,1,12770,7.12925,6.8681,1.24579,32.169,21,Short,Young,Large
Unmatched: Little Red Riding Hood vs. Beowulf,2020,2,2,20,9,11,2295,8.17933,6.86732,1.15757,16.16333333333333,3,Quick,PreTeen,Small
AquaSphere,2014,2,4,100,12,1,7317,7.25676,6.86667,1.3305,26.8115625,9,Long,PreTeen,Small
The Colonists,2016,1,4,360,12,0,4129,7.55577,6.8662,1.4392,41.05111111111111,7,Marathon,PreTeen,Small
Pax Renaissance: 2nd Edition,2021,1,4,120,12,1,1746,8.52809,6.8661,1.50438,72.2475,2,Long,PreTeen,Small
Paperback,2014,2,5,45,8,0,10680,7.13272,6.86598,1.20899,26.25,9,Short,Young,Large
Draftosaurus,2019,2,5,15,8,3,12715,7.10944,6.86425,1.12266,17.77111111111111,4,Quick,Young,Large
Dice Throne: Season One,2018,2,6,40,8,6,5659,7.52597,6.86345,1.49535,98.0,5,Short,Young,Large
Tobago,2009,2,4,60,10,0,11943,7.10132,6.86051,1.18213,76.89500000000001,14,Short,PreTeen,Small
Unfathomable,2021,3,6,240,14,3,4589,7.55614,6.86002,1.48106,56.353571428571435,2,Very Long,Teen,Large
Triumph & Tragedy: European Balance of Power 1936-1945,2015,2,3,360,12,0,2249,8.14976,6.85769,1.40136,59.39933333333333,8,Marathon,PreTeen,Small
Star Trek: Ascendancy,2016,3,3,180,14,34,3415,7.81911,6.85751,1.48168,72.53846153846153,7,Long,Teen,Small
Cooper Island,2019,1,4,120,12,0,3777,7.60096,6.85477,1.32128,39.495,4,Long,PreTeen,Small
Aeon Trespass: Odyssey,2022,1,4,0,12,3,2090,9.1278,6.85198,1.69361,316.6666666666667,1,,PreTeen,Small
Automobile,2009,3,5,120,12,1,5705,7.32862,6.85187,1.39679,86.599,14,Long,PreTeen,Large
Evolution,2014,2,6,60,12,14,16328,7.06527,6.85124,1.31527,31.22983870967742,9,Short,PreTeen,Large
Unlock!: Heroic Adventures,2018,1,6,60,10,1,3459,7.64181,6.85039,1.27455,14.428571428571429,5,Short,PreTeen,Large
Silver & Gold,2019,2,4,20,8,0,7593,7.21632,6.84936,1.08959,11.76,4,Quick,Young,Small
Age of Innovation,2023,1,5,200,14,0,1430,8.8665,6.8491,1.18033,110.0,0,Very Long,Teen,Large
The Battle of Five Armies,2014,2,2,240,13,0,2847,7.8834,6.84869,1.28611,61.995,9,Very Long,Teen,Small
Coup,2012,2,6,15,13,1,44841,6.98418,6.84833,1.42741,14.14857142857143,11,Quick,Teen,Large
Struggle of Empires,2004,2,7,240,13,1,4183,7.52462,6.84831,1.4743,51.879000000000005,19,Very Long,Teen,Large
Crusaders: Thy Will Be Done,2018,2,4,60,14,0,4249,7.48691,6.8456,1.13546,61.2495,5,Short,Teen,Small
Francis Drake,2013,3,5,120,14,1,5120,7.38146,6.84555,1.24755,43.93666666666667,10,Long,Teen,Large
Carson City,2009,2,5,90,12,3,7174,7.22115,6.84532,1.33985,71.39533333333334,14,Moderate,PreTeen,Large
Star Wars: Destiny,2016,2,2,30,10,7,5390,7.45612,6.84452,1.57681,222.42785714285714,7,Quick,PreTeen,Small
Hammer of the Scots,2002,2,2,180,12,1,4109,7.53029,6.84266,1.37504,40.845652173913045,21,Long,PreTeen,Small
Cuba Libre,2013,1,4,180,14,1,3270,7.68745,6.84166,1.29111,50.24,10,Long,Teen,Small
Splendor: Marvel,2020,2,4,30,10,0,4109,7.59712,6.84165,1.16602,31.464375,3,Quick,PreTeen,Small
Conan,2016,2,5,90,14,8,4532,7.64478,6.84017,1.57838,228.0952380952381,7,Moderate,Teen,Large
Dinosaur Island: Rawr 'n Write,2021,1,4,45,10,0,3137,7.74988,6.84004,1.16171,26.451818181818183,2,Short,PreTeen,Small
A Game of Thrones,2003,3,5,180,12,1,10528,7.17444,6.839,1.58401,35.84261904761905,20,Long,PreTeen,Large
The Lord of the Rings: The Card Game – Revised Core Set,2022,1,4,90,14,1,1904,8.49822,6.83893,1.278,67.66666666666667,1,Moderate,Teen,Small
Arkham Horror: The Card Game (Revised Edition),2021,1,4,180,14,31,1604,8.73788,6.83628,1.26712,205.0,2,Long,Teen,Small
Gears of War: The Board Game,2011,1,4,180,14,1,5029,7.46751,6.83599,1.40248,135.0,12,Long,Teen,Small
Zombicide,2012,1,6,60,14,13,18569,7.1069,6.83498,1.57246,143.18375,11,Short,Teen,Large
Take 5,1994,2,10,45,8,0,28077,6.95946,6.83406,1.26996,26.9975,29,Short,Young,Massive
Quantum,2013,2,4,60,13,0,7452,7.24353,6.83405,1.40893,94.8,10,Short,Teen,Small
Thebes,2007,2,4,60,8,0,9802,7.12685,6.83367,1.19982,31.646842105263158,16,Short,Young,Small
Regicide,2020,1,4,30,10,0,4574,7.47273,6.83363,1.23454,15.95,3,Quick,PreTeen,Small
Blood Bowl (2016 Edition),2016,2,2,180,12,29,2661,7.97967,6.83236,1.50975,98.06166666666667,7,Long,PreTeen,Small
Shards of Infinity,2018,2,4,30,10,2,4495,7.48834,6.83189,1.22461,15.0,5,Quick,PreTeen,Small
Photosynthesis,2017,2,4,60,10,5,22789,6.99403,6.83036,1.26669,23.068688524590165,6,Short,PreTeen,Small
Whitehall Mystery,2017,2,4,60,13,0,3833,7.55516,6.82942,1.19772,25.0,6,Short,Teen,Small
Coloretto,2003,2,5,30,8,0,20747,6.97798,6.82905,1.13903,25.494999999999997,20,Quick,Young,Large
Zombicide: Green Horde,2018,1,6,60,14,7,4066,7.70184,6.82817,1.47123,208.08166666666668,5,Short,Teen,Large
HeroQuest,1989,2,5,90,14,6,13255,7.18916,6.82568,1.60011,356.9375,34,Moderate,Teen,Large
A Game of Thrones: The Card Game (Second Edition),2015,2,4,120,14,8,4856,7.503,6.82448,1.57421,81.41174999999998,8,Long,Teen,Small
Bus,1999,3,5,120,14,1,3371,7.60557,6.82334,1.43921,180.75,24,Long,Teen,Large
Mare Nostrum: Empires,2016,3,5,120,14,4,4066,7.52924,6.82259,1.35471,94.87384615384615,7,Long,Teen,Large
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2015,2,2,45,14,7,3105,7.7447,6.8223,1.46138,22.491,8,Short,Teen,Small
Betrayal at House on the Hill,2004,3,6,60,12,8,44967,7.03206,6.82021,1.58467,34.314504504504505,19,Short,PreTeen,Large
Medici,1995,2,6,60,10,0,8054,7.16483,6.8195,1.26344,68.28571428571429,28,Short,PreTeen,Large
Formula D,2008,2,10,60,8,1,19263,7.00049,6.81869,1.32772,105.436875,15,Short,Young,Massive
Time's Up!,1999,4,18,90,12,1,5757,7.28865,6.81841,1.61621,10.596,24,Moderate,PreTeen,Massive
Galaxy Trucker (Second Edition),2021,2,4,30,8,3,3977,7.51008,6.81629,1.2572,24.813636363636363,2,Quick,Young,Small
Taluva,2006,2,4,45,8,0,8584,7.14614,6.81496,1.28119,65.20428571428572,17,Short,Young,Small
The Downfall of Pompeii,2004,2,4,45,10,0,8241,7.15072,6.81164,1.133,66.1225,19,Short,PreTeen,Small
Snowdonia,2012,1,5,90,10,1,4941,7.33864,6.8109,1.31135,53.58764705882353,11,Moderate,PreTeen,Large
Magic Maze,2017,1,8,15,8,4,20694,6.96786,6.81062,1.33787,20.5825,6,Quick,Young,Large
Pax Renaissance,2016,2,4,120,12,1,2335,8.0069,6.81046,1.64109,60.666666666666664,7,Long,PreTeen,Small
One Night Ultimate Werewolf: Daybreak,2015,3,7,10,8,4,5806,7.31477,6.80984,1.5118,18.87375,8,Quick,Young,Large
