Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Blood on the Clocktower,2022,5,20,120,15,0,4073,8.32855,7.21315,1.9984,175.0,1,Long,Teen,Massive
Lewis & Clark: The Expedition,2013,1,5,120,14,5,15272,7.45192,7.20826,1.29514,33.5603125,10,Long,Teen,Large
Great Western Trail: Argentina,2022,1,4,150,12,2,2749,8.47729,7.20577,1.17873,47.333333333333336,1,Long,PreTeen,Small
Bora Bora,2013,2,4,120,12,1,10094,7.55642,7.20233,1.34248,44.285714285714285,10,Long,PreTeen,Small
Kingdomino,2016,2,4,25,8,24,45330,7.31524,7.19748,1.1253,16.78575757575758,7,Quick,Young,Small
Arcadia Quest,2014,2,4,60,13,8,10307,7.61793,7.1938,1.50663,165.5625,9,Short,Teen,Small
Battle Line,2000,2,2,30,12,0,17207,7.41315,7.19112,1.26545,16.164666666666665,23,Quick,PreTeen,Small
Rococo,2013,2,5,120,12,1,8823,7.58247,7.18932,1.1631,60.49875,10,Long,PreTeen,Large
Forgotten Waters,2020,3,7,240,14,1,5601,7.84736,7.18745,1.39778,39.435625,3,Very Long,Teen,Large
Dixit: Odyssey,2011,3,12,30,8,3,20463,7.40613,7.18674,1.3466,55.0,12,Quick,Young,Massive
Anno 1800: The Board Game,2020,2,4,120,12,1,6372,7.74707,7.18627,1.16643,47.496,3,Long,PreTeen,Small
Seasons,2012,2,4,60,14,6,24445,7.35653,7.18293,1.37736,32.583,11,Short,Teen,Small
Cryptid,2018,3,5,50,10,1,13473,7.45916,7.18191,1.27875,20.125,5,Short,PreTeen,Large
Ethnos,2017,2,6,60,14,3,13053,7.46451,7.18188,1.21491,63.0,6,Short,Teen,Large
Hive,2000,2,2,20,9,0,36007,7.31956,7.18022,1.32932,22.882307692307695,23,Quick,PreTeen,Small
Imperial,2006,2,6,180,13,1,8710,7.59894,7.17737,1.51083,46.998000000000005,17,Long,Teen,Large
The Manhattan Project: Energy Empire,2016,1,5,120,13,1,5992,7.75025,7.17524,1.16227,58.4975,7,Long,Teen,Large
Marvel United,2020,1,4,40,14,8,9350,7.60463,7.16953,1.36977,62.396666666666675,3,Short,Teen,Small
Indonesia,2005,2,5,240,14,1,4566,7.88287,7.16938,1.52507,230.665,18,Very Long,Teen,Large
Navegador,2010,2,5,90,12,1,9094,7.53743,7.16595,1.1806,54.388,13,Moderate,PreTeen,Large
Star Realms: Frontiers,2018,1,4,45,12,2,4796,7.94541,7.16588,1.18235,23.5,5,Short,PreTeen,Small
